Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#120a1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-1,"Supply Air",4,20606:41,1293,BAV,3,6,6
#120a2_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Air Flow Feedback",4,20606:41,1297,BAV,3,7,2
#120a2_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Room Occupied",4,20606:41,853,BBV,3,7,5
#120a2_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"htg setpt",4,20606:41,215,BAV,3,7,4
#120a2_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"clg setpt",4,20606:41,214,BAV,3,7,3
#120a2_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Zone Temp",4,20606:41,436,BAV,3,7,7
#120a2_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-2,"Supply Air",4,20606:41,1306,BAV,3,7,6
#120a3_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Air Flow Feedback",4,20606:41,1310,BAV,3,8,2
#120a3_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Room Occupied",4,20606:41,860,BBV,3,8,5
#120a3_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"htg setpt",4,20606:41,221,BAV,3,8,4
#120a3_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"clg setpt",4,20606:41,220,BAV,3,8,3
#120a3_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Zone Temp",4,20606:41,437,BAV,3,8,7
#120a3_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120A-3,"Supply Air",4,20606:41,1319,BAV,3,8,6
#120b1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"Air Flow Feedback",4,20606:41,1388,BAV,3,9,2
#120b1_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"Room Occupied",4,20606:41,902,BBV,3,9,5
#120b1_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"htg setpt",4,20606:41,257,BAV,3,9,4
#120b1_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"clg setpt",4,20606:41,256,BAV,3,9,3
#120b1_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"Zone Temp",4,20606:41,443,BAV,3,9,7
#120b1_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-1,"Supply Air",4,20606:41,1397,BAV,3,9,6
#120b2_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"Air Flow Feedback",4,20606:41,1401,BAV,3,10,2
#120b2_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"Room Occupied",4,20606:41,909,BBV,3,10,5
#120b2_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"htg setpt",4,20606:41,263,BAV,3,10,4
#120b2_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"clg setpt",4,20606:41,262,BAV,3,10,3
#120b2_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"Zone Temp",4,20606:41,444,BAV,3,10,7
#120b2_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-2,"Supply Air",4,20606:41,1410,BAV,3,10,6
#120b3_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"Air Flow Feedback",4,20606:41,1414,BAV,3,11,2
#120b3_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"Room Occupied",4,20606:41,916,BBV,3,11,5
#120b3_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"htg setpt",4,20606:41,269,BAV,3,11,4
