Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId,Point ALC
#sav-3a8-e/m322,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Bioengineering 340 West SAV-3A8-E,Flow Difference,1_2,20618:31,25,BAV,3,61,62,
#sav-3a8-e/m328,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Bioengineering 340 West SAV-3A8-E,Exhaust Flow Stpt,1_2,20618:31,28,BAV,3,61,63,
#sav-3a9-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Clg%,1_2,20618:32,2,BAV,3,62,65,
#sav-3a9-a/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Clg Stpt,1_2,20618:32,5,BAV,3,62,67,
#sav-3a9-a/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Htg%,1_2,20618:32,9,BAV,3,62,66,
#sav-3a9-a/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Htg Stpt,1_2,20618:32,8,BAV,3,62,68,
#sav-3a9-a/m277,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,GEX Dmpr Pos,1_2,20618:32,3,BAV,3,62,56,
#sav-3a9-a/m285,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Cool Requests,1_2,20618:32,4,BAV,3,62,57,
#sav-3a9-a/m288,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Heat Requests,1_2,20618:32,7,BAV,3,62,58,
#sav-3a9-a/m310,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,SAV Dmpr Pos,1_2,20618:32,20,BAV,3,62,59,
#sav-3a9-a/m318,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Exhaust Flow,1_2,20618:32,23,BAV,3,62,60,
#sav-3a9-a/m320,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Supply Flow,1_2,20618:32,24,BAV,3,62,61,
#sav-3a9-a/m322,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Flow Difference,1_2,20618:32,25,BAV,3,62,62,
#sav-3a9-a/m328,10.20.0.47,Science & Engineering 2: 0206,Third Floor,Long Bar,Cell Culture 340L SAV-3A9-A,Exhaust Flow Stpt,1_2,20618:32,28,BAV,3,62,63,
#sav-b1-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Clg%,1_2,20613:1,2,BAV,3,63,65,
#sav-b1-a/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Clg Stpt,1_2,20613:1,5,BAV,3,63,67,
#sav-b1-a/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Htg%,1_2,20613:1,9,BAV,3,63,66,
#sav-b1-a/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Htg Stpt,1_2,20613:1,8,BAV,3,63,68,
#sav-b1-a/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,GEX Dmpr Pos,1_2,20613:1,3,BAV,3,63,56,
#sav-b1-a/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Cool Requests,1_2,20613:1,4,BAV,3,63,57,
#sav-b1-a/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Heat Requests,1_2,20613:1,7,BAV,3,63,58,
#sav-b1-a/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,SAV Dmpr Pos,1_2,20613:1,20,BAV,3,63,59,
#sav-b1-a/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Exhaust Flow,1_2,20613:1,23,BAV,3,63,60,
#sav-b1-a/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Supply Flow,1_2,20613:1,24,BAV,3,63,61,
#sav-b1-a/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Flow Difference,1_2,20613:1,25,BAV,3,63,62,
#sav-b1-a/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Microtome 090F SAV-B1-A,Exhaust Flow Stpt,1_2,20613:1,28,BAV,3,63,63,
#sav-b10-b/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Clg%,1_2,20613:10,2,BAV,3,64,65,
#sav-b10-b/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Clg Stpt,1_2,20613:10,5,BAV,3,64,67,
#sav-b10-b/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Htg%,1_2,20613:10,9,BAV,3,64,66,
#sav-b10-b/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Htg Stpt,1_2,20613:10,8,BAV,3,64,68,
#sav-b10-b/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,GEX Dmpr Pos,1_2,20613:10,3,BAV,3,64,56,
#sav-b10-b/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Cool Requests,1_2,20613:10,4,BAV,3,64,57,
#sav-b10-b/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Heat Requests,1_2,20613:10,7,BAV,3,64,58,
#sav-b10-b/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,SAV Dmpr Pos,1_2,20613:10,20,BAV,3,64,59,
#sav-b10-b/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Exhaust Flow,1_2,20613:10,23,BAV,3,64,60,
#sav-b10-b/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Supply Flow,1_2,20613:10,24,BAV,3,64,61,
#sav-b10-b/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Flow Difference,1_2,20613:10,25,BAV,3,64,62,
#sav-b10-b/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,TEM 090C SAV-B10-B,Exhaust Flow Stpt,1_2,20613:10,28,BAV,3,64,63,
#sav-b11-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Clg%,1_2,20613:11,2,BAV,3,65,65,
#sav-b11-a/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Clg Stpt,1_2,20613:11,5,BAV,3,65,67,
#sav-b11-a/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Htg%,1_2,20613:11,9,BAV,3,65,66,
#sav-b11-a/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Htg Stpt,1_2,20613:11,8,BAV,3,65,68,
#sav-b11-a/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,GEX Dmpr Pos,1_2,20613:11,3,BAV,3,65,56,
#sav-b11-a/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Cool Requests,1_2,20613:11,4,BAV,3,65,57,
#sav-b11-a/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Heat Requests,1_2,20613:11,7,BAV,3,65,58,
#sav-b11-a/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,SAV Dmpr Pos,1_2,20613:11,20,BAV,3,65,59,
#sav-b11-a/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Exhaust Flow,1_2,20613:11,23,BAV,3,65,60,
#sav-b11-a/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Supply Flow,1_2,20613:11,24,BAV,3,65,61,
#sav-b11-a/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Flow Difference,1_2,20613:11,25,BAV,3,65,62,
#sav-b11-a/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080G SAV-B11-A,Exhaust Flow Stpt,1_2,20613:11,28,BAV,3,65,63,
#sav-b12-a/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Clg%,1_2,20613:12,2,BAV,3,66,65,
