Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId,Point ALC
#001_thermafuser/m073,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-001,Air Flow Feedback,4,20603:2,43,BAV,3,1,2,air_flow_fdbk/air_flow_fdbk_dis
#001_thermafuser/m078,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-001,Room Occupied,4,20603:2,961,BBV,3,1,5,Alarm Sources / occ
#001_thermafuser/m134,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-001,htg setpt,4,20603:2,58,BAV,3,1,4,Heat Stpt
#001_thermafuser/m135,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-001,clg setpt,4,20603:2,16,BAV,3,1,3,Cool Stpt
#001_thermafuser/m186,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-001,Zone Temp,4,20603:2,510,BAV,3,1,7,Zone_Tenp
#002_thermafuser/m073,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,Air Flow Feedback,4,20603:2,30,BAV,3,2,2,air_flow_fdbk/air_flow_fdbk_dis
#002_thermafuser/m078,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,Room Occupied,4,20603:2,969,BBV,3,2,5,Alarm Sources / occ
#002_thermafuser/m134,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,htg setpt,4,20603:2,217,BAV,3,2,4,Heat Stpt
#002_thermafuser/m135,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,clg setpt,4,20603:2,114,BAV,3,2,3,Cool Stpt
#002_thermafuser/m186,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,Zone Temp,4,20603:2,518,BAV,3,2,7,Zone_Tenp
#002_thermafuser/m190,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-002,Supply Air,4,20603:2,36,BAV,3,2,6,point name (m086)
#00c1_thermafuser/m073,10.20.0.47,Science & Engineering 2: 0206,Basement,,Room-0C1,Air Flow Feedback,4,20603:2,69,BAV,3,3,2,air_flow_fdbk/air_flow_fdbk_dis
